1882,2951,36
1982,3051,65
16,1990,0
62,1995,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
0,1980,0
475,2207,0
4496,2828,0
10252,3879,13
11728,3429,38
4369,2704,0
6132,2975,0
5862,3089,0
4556,2785,3
5546,2926,0
3689,2645,2
590,1120,0
5974,2306,0
0,1776,0
3984,1527,3
7753,2115,0
8204,2135,8
10210,2302,1
5664,1985,0
4744,1884,0
29,1464,0
2276,1632,1
8925,2200,0
8954,2220,0
3702,1792,0
4500,1886,1
4935,1945,0
4081,1880,1
9259,2314,0
9899,2236,8
10780,2324,6
10817,2367,13
7990,2175,6
8221,2092,6
1251,1593,0
9261,2270,0
9648,2235,8
10429,2282,8
13658,2530,27
9524,2266,6
7937,2158,3
3672,1792,0
10378,2345,2
9487,2260,3
9129,2232,3
17,257,0
10122,2955,0
10993,3092,1
8863,2998,10
8758,3066,0
6580,3073,6
4660,2572,0
11009,3274,27
10181,3015,20
10553,3083,19
10055,3069,7
12139,3544,77
13236,3306,58
10243,2885,14
12961,3288,11
9461,2929,14
11193,3074,11
10074,2969,19
9232,2979,13
12533,3283,14
10255,2926,12
10096,3147,33
12727,3290,18
12375,3162,35
9603,2899,12
13175,3425,33
22770,4022,120
17298,3934,107
10218,3013,6
10299,3061,13
10201,2954,8
3369,1623,0
2961,2095,0
3974,2194,0
7198,2496,0
3945,2180,0
2268,1933,0
6155,2248,25
2064,1954,0
2072,1974,0
3809,2150,0
6831,2432,0
4363,2149,0
5002,2247,0
3385,2070,0
6326,2291,29
7243,2361,32
4493,2203,0
4676,2196,0
6222,2363,0
5232,2246,0
6910,2336,27
7502,2421,30
2923,2070,0
3800,2120,2
4514,2211,0
5183,2123,26
7303,2423,0
5275,2281,0
3915,2181,0
9105,2499,34
768,1212,0
4978,1722,19
6799,1922,0
7795,2121,17
7289,1997,8
9634,2117,7
8940,2116,14
5401,1876,1
4803,1788,0
13743,2486,6
9601,2094,20
6890,2085,5
8563,2173,0
8095,2225,18
9148,2223,12
9557,2098,27
9451,2185,1
7833,1918,15
10319,2105,7
3428,1692,0
7891,2066,0
5267,1953,21
5232,1842,0
10611,2262,14
3755,1722,0
8237,1973,23
6543,2666,66
11451,2223,6
6435,1889,11
9108,2131,4
6307,1452,0
6877,2898,0
7860,2984,0
6506,2896,1
11140,3328,3
12692,3394,12
9105,3013,22
6708,2812,10
8793,3061,2
6530,2729,4
1664,2241,0
15126,3691,9
15050,3538,15
9167,3064,6
6108,2784,1
7047,2908,1
9023,3033,14
9930,3165,12
10144,3115,4
0,2017,0
7245,2859,5
9454,3145,0
8161,3004,4
8614,3006,8
6943,2859,1
14370,3683,5
12857,3287,9
8232,2990,0
10613,3172,1
9810,3069,10
2752,1240,0
4832,1718,0
17022,2324,61
16556,2254,58
5771,1831,0
655,1397,0
3727,1683,0
15482,2284,69
2713,1570,0
12346,2066,47
11682,2105,25
4112,1776,0
1807,1507,0
10946,2033,51
11886,2093,40
10538,1922,16
11393,1999,49
12764,2169,46
1202,1463,0
5164,1747,0
9769,1996,23
12848,2116,26
4249,1698,0
14331,2156,44
9632,1916,21
1868,1494,0
6083,1762,3
11611,2272,59
16358,2335,61
4926,1693,0
3121,741,8
8135,3405,86
5077,2551,15
8596,4022,118
12087,4005,115
14269,4274,184
12231,4552,200
9893,3625,114
12574,3501,108
8330,3192,87
10830,4018,110
9172,3329,62
7638,3152,24
15764,4392,210
6393,3374,61
5325,3088,38
6805,3294,63
9841,3580,99
7924,3544,97
12363,4501,207
13368,4546,194
7439,3014,37
11045,3795,97
5206,2755,25
7550,3004,45
4950,2643,41
0,1819,0
0,1819,0
3421,2489,34
8869,3841,104
4038,1665,45
0,1496,0
0,1496,0
0,1496,0
14019,2865,0
14450,2828,7
7150,2225,0
5153,2018,0
11135,2606,0
10449,2536,26
19542,4900,11
8206,2409,0
11495,2651,0
7623,2305,0
0,1497,0
9543,2450,0
9411,2576,0
3403,1879,0
9592,2560,0
6987,2275,0
8915,2361,0
4933,2044,0
0,1496,0
2997,1902,0
9799,2636,0
3365,1838,0
7336,2469,0
7328,2250,0
4477,1248,0
4562,2560,0
7142,2905,0
7671,2952,0
9501,2896,0
8301,2783,0
7851,3171,31
6885,2766,0
7142,2839,0
6361,2701,0
0,2060,0
6238,2796,0
0,2664,33
5896,2703,0
7802,2771,8
0,2060,0
5565,2743,0
5731,2687,0
0,2060,0
6744,2843,0
9837,3327,8
6781,2725,0
6047,2671,0
5832,2718,0
6339,2682,0
6116,2806,0
5510,2613,0
7706,2712,0
6277,2175,0
0,0,0
0,1841,0
4053,2400,17
5162,2507,14
1282,2127,0
4732,2225,36
2497,2067,5
8294,2798,30
0,1841,0
10771,3727,70
0,1841,0
637,1922,0
0,1841,0
2153,2053,11
6474,2484,33
7091,2584,42
0,1841,0
703,1993,2
0,1841,0
2503,2280,3
2487,2319,9
0,1841,0
9,1843,0
0,1841,0
0,1841,0
4697,2496,12
1967,1032,2
5652,1718,8
1551,1466,0
5563,1756,0
13217,2173,50
10145,2027,5
11404,2039,13
10742,2046,35
13928,2174,48
11835,2179,53
10725,2086,30
20031,2571,58
5029,1705,0
13239,2194,35
10433,2012,36
10320,2034,7
12627,2182,38
10762,2254,12
10081,2002,32
5454,1740,0
12912,2162,18
12109,2072,21
10147,2086,15
10524,2066,14
5908,1850,0
6815,1947,0
4188,1659,0
12342,2105,43
15448,2361,62
6722,1855,24
3587,928,0
12862,2742,56
11179,2668,34
5273,2098,0
4631,2076,0
8059,2383,0
14816,2832,48
14194,2812,53
15566,3096,60
13744,2763,30
15299,2889,64
8093,2284,2
11085,2667,0
18229,3055,51
15090,2939,16
13541,2830,50
15128,2836,16
20067,3180,55
3761,2051,0
5600,2225,0
13041,2642,64
14510,2976,58
0,1557,0
15010,2933,53
11459,2553,44
0,120,0
5813,2516,31
9123,2734,35
8585,2395,30
31,1635,0
0,1629,0
9827,2743,61
10688,2944,67
14365,2997,87
9469,2463,19
9753,2846,58
2817,1965,0
3520,2049,0
10091,2752,69
10387,2781,70
11107,2693,55
11584,2862,54
7881,2616,24
14560,2995,42
12390,2730,30
10052,2754,66
10288,2754,57
10988,2655,45
8564,2386,24
12461,2924,84
12827,2739,20
10677,2534,32
13566,2960,67
14433,2800,72
9572,2735,57
3789,1199,5
16433,3140,95
20159,3411,119
20669,3410,132
14549,2867,96
18827,3213,111
17076,3133,102
15929,3114,90
15108,3043,89
16057,3103,100
10520,2655,60
22359,3554,125
22988,3577,129
20500,3403,118
12685,2846,68
12422,2852,60
15447,3062,90
12315,2794,58
7135,2408,27
1170,1886,0
1969,1988,0
15484,3023,87
14581,2918,89
14990,2950,93
13953,2859,90
19769,3331,121
22026,3589,125
12465,2765,66
14810,2926,96
12209,2809,60
4998,1505,28
8053,1935,35
5234,1705,29
2672,1632,0
9256,1880,6
10204,2112,41
5151,1829,16
4212,1763,0
6466,1931,5
11268,2218,49
2824,1651,0
9282,2132,30
8905,1976,41
6829,1909,7
4562,1813,19
